Date,log_price_usd,log_price_trend,log_price_residual,log_price_residual_ma14,close,pct_change,realized_vol_30,years_since_halving,dxy,dxy_ret_30,dxy_ret_100,short_percent_r,long_percent_r,wr_composite
2012-07-17,2.169280515222863,,,,,,,0.0,83.02999877929688,,,,,
2012-07-18,2.207745997688322,,,,,,,0.0,82.94999694824219,,,,,
2012-07-19,2.1837490120989425,,,,,,,0.0,82.9000015258789,,,,,
2012-07-20,2.143876621428665,,,,,,,0.0,83.47000122070312,,,,,
2012-07-21,2.1833111035339403,,,,,,,0.0,83.47000122070312,,,,,
2012-07-22,2.140837929623017,,,,,,,0.0,83.47000122070312,,,,,
2012-07-23,2.143731352528256,,,,,,,0.0,83.70999908447266,,,,,
2012-07-24,2.1488026152824515,,,,,,,0.0,84.01000213623047,,,,,
2012-07-25,2.171262376355386,,,,,,,0.0,83.5199966430664,,,,,
2012-07-26,2.1833245340318257,,,,,,,0.0,82.80999755859375,,,,,
2012-07-27,2.185091253615452,,,,,,,0.0,82.70999908447266,,,,,
2012-07-28,2.179576528611973,,,,,,,0.0,82.70999908447266,,,,,
2012-07-29,2.168788597720188,,,,,,,0.0,82.70999908447266,,,,,
2012-07-30,2.2069897699277377,,,,,,,0.0,82.79000091552734,,,,,
2012-07-31,2.2322697476493336,,,,,,,0.0,82.63999938964844,,,,,
2012-08-01,2.2584263819735932,,,,,,,0.0,83.05999755859375,,,,,
2012-08-02,2.3562244044582705,,,,,,,0.0,83.33000183105469,,,,,
2012-08-03,2.390217212391848,,,,,,,0.0,82.37999725341797,,,,,
2012-08-04,2.390569860156432,,,,,,,0.0,82.37999725341797,,,,,
2012-08-05,2.380019853162871,,,,,,,0.0,82.37999725341797,,,,,
2012-08-06,2.3859557800347657,,,,,,,0.0,82.2699966430664,,,,,
2012-08-07,2.3925427408040414,,,,,,,0.0,82.20999908447266,,,,,
2012-08-08,2.4042741206863067,,,,,,,0.0,82.38999938964844,,,,,
2012-08-09,2.4072806145531462,,,,,,,0.0,82.63999938964844,,,,,
2012-08-10,2.4377773759700374,,,,,,,0.0,82.55000305175781,,,,,
2012-08-11,2.446038953339005,,,,,,,0.0,82.55000305175781,,,,,
2012-08-12,2.450362856559918,,,,,,,0.0,82.55000305175781,,,,,
2012-08-13,2.4836527798846255,,,,,,,0.0,82.44000244140625,,,,,
2012-08-14,2.5003778085789903,,,,,,,0.0,82.4800033569336,,,,,
2012-08-15,2.57794738922971,,,,,,,0.0,82.6500015258789,,,,,
2012-08-16,2.599037901692131,,,,,,46.03504998957623,0.0,82.36000061035156,-0.008069350581664358,,,,
2012-08-17,2.4913032762128067,,,,,,57.45704956384133,0.0,82.5999984741211,-0.004219391042768583,,,,
2012-08-18,2.4490641782294906,,,,,,58.611521320761206,0.0,82.5999984741211,-0.0036188545987440035,,,,
2012-08-19,2.058041924717137,,,,,,129.48381924944735,0.0,82.5999984741211,-0.010422939186039537,,,,
2012-08-20,2.3005707304016414,,,,,,147.38967562736082,0.0,82.45999908447266,-0.012100181160413781,,,,
2012-08-21,2.292835925736049,,,,,,146.78236727118485,0.0,81.91000366210938,-0.0186893199446464,,,,
2012-08-22,2.279577903587157,,,,,,146.87776033689798,0.0,81.48999786376953,-0.02652014388941637,,,,
2012-08-23,2.311411765657622,,,,,,147.09101315157938,0.0,81.36000061035156,-0.031543881186690936,,,,
2012-08-24,2.3602918237286756,,,,,,147.55554996948075,0.0,81.58999633789062,-0.0231082421306108,,,,
2012-08-25,2.3593128775494603,,,,,,147.55971265706808,0.0,81.58999633789062,-0.01473253540238173,,,,
2012-08-26,2.3557021438406487,,,,,,147.58092400036475,0.0,81.58999633789062,-0.013541322197793249,,,,
2012-08-27,2.388797658411987,,,,,,147.75041874505322,0.0,81.66000366210938,-0.012694903082889786,,,,
2012-08-28,2.3917819456715432,,,,,,147.66043914783458,0.0,81.37000274658203,-0.016201140765605304,,,,
2012-08-29,2.3858028074698185,,,,,,147.41546909547355,0.0,81.55000305175781,-0.014977628337445426,,,,
2012-08-30,2.372833733922935,,,,,,147.39669785700556,0.0,81.68000030517578,-0.011616639539725249,,,,
2012-08-31,2.312773991484009,,,,,,148.419879880364,0.0,81.25,-0.02179144728865312,,,,
2012-09-01,2.303238173436931,,,,,,145.62165928636006,0.0,81.25,-0.024961019864990885,,,,
2012-09-02,2.324944859945142,,,,,,145.40286502280594,0.0,81.25,-0.01371688869983645,,,,
2012-09-03,2.351102296977607,,,,,,145.6340164475143,0.0,81.25,-0.01371688869983645,,,,
2012-09-04,2.3383384454684593,,,,,,145.6476274841251,0.0,81.31999969482422,-0.012867171569974412,,,,
2012-09-05,2.400212846823605,,,,,,146.78995698075562,0.0,81.23999786376953,-0.012519737709065337,,,,
2012-09-06,2.4124048628031347,,,,,,146.81922224931918,0.0,81.08000183105469,-0.013745253205232011,,,,
2012-09-07,2.4047916504486206,,,,,,146.79953472854814,0.0,80.25,-0.025974018758365358,,,,
2012-09-08,2.401821195660521,,,,,,146.7991795686188,0.0,80.25,-0.028920612382625555,,,,
2012-09-09,2.403524444086193,,,,,,146.51321024667953,0.0,80.25,-0.027861937816231697,,,,
2012-09-10,2.4092207876966976,,,,,,146.50078953780437,0.0,80.36000061035156,-0.026529404729799255,,,,
2012-09-11,2.4219750994732925,,,,,,146.548915562966,0.0,79.86000061035156,-0.03258633969667635,,,,
2012-09-12,2.4261545468388093,,,,,,146.20041117146684,0.0,79.73999786376953,-0.03275114626004205,,,,
2012-09-13,2.431883727888386,,,,,,146.1132859837046,0.0,79.26000213623047,-0.03903978042736633,,,,
2012-09-14,2.462158837597122,,,,,,144.50133260735473,0.0,78.8499984741211,-0.0459770475692971,,,,
2012-09-15,2.4611596941676948,,,,,,144.31160338500433,0.0,78.8499984741211,-0.0426178012411198,,,,
2012-09-16,2.4754378976308753,,,,,,141.02944098271618,0.0,78.8499984741211,-0.04539951657716912,,,,
2012-09-17,2.477237076760727,,,,,,140.47412160226196,0.0,79.01000213623047,-0.043462426201077764,,,,
2012-09-18,2.5063134503872413,,,,,,77.07363305158262,0.0,79.25,-0.040556883002493826,,,,
2012-09-19,2.526116896783564,,,,,,36.02572689458718,0.0,79.05999755859375,-0.04123213150167415,,,,
2012-09-20,2.5150459185851233,,,,,,36.161190223848806,0.0,79.41000366210938,-0.030521302505526204,,,,
2012-09-21,2.512331934638251,,,,,,35.764539171690245,0.0,79.33000183105469,-0.026506271804372927,,,,
2012-09-22,2.502560534329029,,,,,,35.36133401780006,0.0,79.33000183105469,-0.024950820600640355,,,,
2012-09-23,2.498601037681333,,,,,,33.08462152122822,0.0,79.33000183105469,-0.027699406891459666,,,,
2012-09-24,2.494327856896058,,,,,,33.14669938996963,0.0,79.5199966430664,-0.025370753618515707,,,,
2012-09-25,2.499992730017384,,,,,,33.0583601359039,0.0,79.55000305175781,-0.025002982935365514,,,,
2012-09-26,2.511209092713326,,,,,,32.023591622080936,0.0,79.88999938964844,-0.021675290143076786,,,,
2012-09-27,2.511122605713858,,,,,,32.04508502210005,0.0,79.55000305175781,-0.022366961206728875,,,,
2012-09-28,2.5161999815916665,,,,,,31.90647332531532,0.0,79.94000244140625,-0.01974249601596867,,,,
2012-09-29,2.5180795851456486,,,,,,31.493791673521176,0.0,79.94000244140625,-0.021302618232963866,,,,
2012-09-30,2.5170206372553054,,,,,,24.87524119481573,0.0,79.94000244140625,-0.01612304687499999,,,,
2012-10-01,2.516840877673065,,,,,,24.48581067772503,0.0,79.81999969482422,-0.017600003756009563,,,,
2012-10-02,2.550010487342443,,,,,,25.29133229434285,0.0,79.73999786376953,-0.018584641676682723,,,,
2012-10-03,2.561515043446354,,,,,,24.701821357404178,0.0,79.97000122070312,-0.01575383112980766,,,,
2012-10-04,2.5543072208803266,,,,,,24.36546249298136,0.0,79.3499984741211,-0.024225297935269285,,,,
2012-10-05,2.545705328538252,,,,,,18.47200998236206,0.0,79.33999633789062,-0.023387513242737912,,,,
